feature,importance
feature_464,7584.301177473273
feature_387,7485.004077448044
feature_514,7457.9763461640105
feature_1410,7328.851088877767
feature_556,7102.270140286535
feature_371,7086.508566359989
feature_359,6890.699311397504
feature_755,6875.6942642452195
feature_399,6841.857138587162
feature_873,6834.203797854949
feature_1751,6799.4702949291095
feature_1800,6753.249977340922
feature_521,6670.422192054335
feature_1827,6608.339004887268
feature_545,6587.875132991932
feature_216,6509.138376309536
feature_184,6454.226412321441
feature_374,6373.836339958478
feature_347,6318.463541984558
feature_95,6307.918163569644
feature_369,6277.570994086564
feature_1808,6182.683837108314
feature_1738,6108.017603089102
feature_389,6057.69379858207
feature_373,6003.10258344654
feature_1455,5998.394772440195
feature_442,5992.741184346378
feature_236,5990.780910277739
feature_406,5974.4619053239
feature_507,5943.052948828787
feature_517,5885.819425361231
feature_331,5769.906425012741
feature_382,5741.217927618884
feature_361,5726.661872480065
feature_354,5720.677361394279
feature_240,5718.493634883314
feature_63,5593.053831127472
feature_508,5590.693039090838
feature_271,5578.011610366404
feature_980,5500.195578768849
feature_386,5486.085120814387
feature_1702,5475.630684115924
feature_326,5421.345841200557
feature_270,5379.248332913034
feature_425,5371.475329412147
feature_170,5261.075883035082
feature_1540,5253.868185464293
feature_342,5161.615441594273
feature_79,5116.421255440451
feature_128,5109.807804987766
feature_328,5055.643812533002
feature_146,5021.830859412439
feature_410,5017.419170758221
feature_348,5010.241133232135
feature_119,4992.435958817601
feature_512,4981.116702160798
feature_1818,4968.46324506402
feature_1305,4966.235850643367
feature_238,4965.376342118718
feature_186,4947.287532798946
feature_463,4919.958244511858
feature_1709,4867.979057960212
feature_1083,4814.916255106218
feature_518,4809.476004506461
feature_411,4797.647397581954
feature_516,4794.008887567557
feature_457,4779.800460243598
feature_330,4753.951810665894
feature_159,4753.505964679178
feature_649,4721.189310666174
feature_242,4710.438752822578
feature_534,4697.058631431311
feature_515,4690.645238017198
feature_423,4673.745590953622
feature_1862,4671.639964932576
feature_115,4671.4888793719
feature_519,4625.629674420692
feature_400,4574.853856706992
feature_64,4570.842236037366
feature_647,4552.1995524428785
feature_384,4513.20202208776
feature_339,4504.604832117446
feature_72,4494.0205417061225
feature_129,4427.953955252655
feature_607,4406.473541249987
feature_191,4389.244076194242
feature_1824,4362.796922507696
feature_539,4351.5449529998
feature_179,4350.177932964172
feature_126,4305.996432697866
feature_243,4268.415966239758
feature_343,4267.146263116505
feature_1141,4254.823605748825
feature_357,4252.1918407883495
feature_431,4233.352548675612
feature_212,4229.347878602799
feature_437,4215.265203453135
feature_563,4182.386603569612
feature_452,4160.701257726178
feature_549,4119.6616428396665
