epoch,total_trees,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1,time_minutes
25,12500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9871125,0.9898187485859373,0.98435,0.9870767996590581,10.65532385
26,13000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9871625,0.9898690263706981,0.9844,0.9871269381666855,10.994103566666666
27,13500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.987125,0.9898313180321275,0.9843625,0.987089334285965,11.353885466666666
28,14000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98715,0.9898564569245079,0.9843875,0.9871144035397786,11.774042616666666
29,14500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98724375,0.9900061597254523,0.984425,0.9872076916809256,12.057700533333334
30,15000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9872375,0.9899937146448774,0.984425,0.9872015042306487,12.43330945
31,15500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.987225,0.9899811439346323,0.9844125,0.9871889689752429,12.815586633333334
32,16000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9872875,0.9900193579204063,0.9845,0.987251964852025,13.144605466666667
33,16500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.987325,0.9900447483533612,0.98455,0.9872897289979694,13.4835497
34,17000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98734375,0.9900328050175338,0.9846,0.9873089288735969,13.81601215
35,17500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98735625,0.9900207377615786,0.9846375,0.9873217810923448,14.296747616666666
36,18000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9873875,0.9900706367361303,0.98465,0.9873528785049072,14.608119649999999
37,18500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.987375,0.9900703871292107,0.984625,0.9873401855101529,14.862239966666667
38,19000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98735,0.990008295000377,0.9846375,0.9873155935474975,15.2139401
39,19500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98739375,0.9900954008974472,0.9846375,0.9873589079901478,15.565332383333333
40,20000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.9873375,0.990044998617361,0.984575,0.9873024229433811,15.990967683333334
41,20500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98740625,0.9901079701856483,0.98465,0.9873714425384967,16.358317133333333
42,21000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98738125,0.9900828316092459,0.984625,0.987346373441799,16.769610883333332
43,21500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98736875,0.9901072241147412,0.984575,0.9873333625817127,17.036368416666665
44,22000,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98738125,0.9901197943509359,0.9845875,0.987345897601424,19.0673088
45,22500,0.9999984375,1.0,0.999996875,0.9999984374975586,0.98739375,0.9901570101446907,0.984575,0.9873581156885972,19.512880483333333
