feature,importance
imports_902,28.082298278808594
imports_330,28.020389556884766
byteentropy_250,27.66932487487793
imports_1238,27.63072395324707
imports_476,27.5616512298584
imports_635,27.48398208618164
imports_511,27.25849723815918
imports_980,27.230873107910156
header_51,26.99960708618164
section_70,26.880388259887695
imports_1245,26.80841064453125
imports_434,26.78391456604004
datadirectories_22,26.779550552368164
imports_1087,26.550636291503906
imports_218,26.459774017333984
imports_992,26.404420852661133
header_61,26.380245208740234
section_47,26.22679328918457
imports_877,26.10993003845215
section_71,26.10808753967285
imports_116,25.999042510986328
imports_776,25.942684173583984
imports_1180,25.915645599365234
section_40,25.809568405151367
header_0,25.727745056152344
imports_893,25.68770408630371
imports_421,25.631528854370117
imports_1161,25.535831451416016
imports_201,25.520544052124023
general_0,25.51786231994629
section_44,25.487163543701172
imports_883,25.22428321838379
imports_1224,25.163820266723633
section_18,24.924835205078125
imports_945,24.70794105529785
imports_562,24.693342208862305
imports_219,24.53901481628418
imports_1115,24.531497955322266
imports_1219,24.466232299804688
imports_521,24.183605194091797
imports_568,24.107248306274414
imports_1213,23.90631103515625
imports_1120,23.755271911621094
imports_1252,23.706022262573242
byteentropy_229,23.597171783447266
datadirectories_2,23.57827377319336
imports_726,23.53114128112793
exports_56,23.319536209106445
imports_1256,23.285938262939453
histogram_219,23.03535270690918
strings_102,22.78551483154297
header_6,22.70886993408203
imports_1047,22.575984954833984
exports_75,22.53136444091797
header_39,22.521442413330078
imports_337,22.438922882080078
imports_1009,22.324161529541016
imports_479,22.31243133544922
imports_196,22.30345344543457
imports_1085,22.197465896606445
section_96,22.093801498413086
section_21,22.087247848510742
imports_572,22.060272216796875
imports_792,22.048017501831055
datadirectories_5,21.99773406982422
imports_674,21.82329559326172
imports_637,21.798404693603516
section_134,21.787750244140625
imports_1175,21.72308349609375
imports_259,21.713254928588867
general_3,21.71234130859375
byteentropy_70,21.705629348754883
imports_398,21.661653518676758
byteentropy_117,21.63372039794922
imports_781,21.56877326965332
section_10,21.562789916992188
imports_779,21.47266960144043
section_48,21.45598793029785
imports_514,21.448347091674805
imports_990,21.397838592529297
imports_384,21.16221046447754
section_68,20.845808029174805
section_196,20.84005355834961
exports_126,20.719757080078125
imports_926,20.662460327148438
imports_796,20.561676025390625
section_140,20.54427719116211
imports_930,20.50634002685547
section_209,20.428667068481445
imports_530,20.33823585510254
imports_1246,20.30523681640625
imports_1264,20.28945541381836
byteentropy_216,20.208351135253906
imports_707,20.1758975982666
imports_538,20.125804901123047
imports_395,20.043914794921875
byteentropy_56,19.865135192871094
imports_645,19.850847244262695
imports_422,19.76910972595215
byteentropy_245,19.699575424194336
imports_967,19.656898498535156
imports_32,19.604480743408203
imports_1088,19.594196319580078
imports_841,19.55166244506836
imports_616,19.516544342041016
imports_949,19.468114852905273
imports_875,19.429750442504883
imports_614,19.387487411499023
section_46,19.238996505737305
imports_1236,19.171079635620117
imports_1135,19.158830642700195
imports_1058,19.156965255737305
imports_409,19.08955192565918
histogram_120,19.06578826904297
exports_44,19.000476837158203
imports_862,18.886890411376953
section_148,18.854000091552734
imports_303,18.798316955566406
imports_188,18.788789749145508
imports_496,18.745454788208008
imports_540,18.665184020996094
imports_344,18.660930633544922
byteentropy_130,18.62607765197754
histogram_113,18.5109806060791
imports_783,18.495073318481445
imports_254,18.391704559326172
histogram_25,18.30682373046875
imports_1024,18.24945831298828
header_18,18.11562156677246
section_98,17.971206665039062
imports_1149,17.895910263061523
section_15,17.75663948059082
imports_647,17.7493953704834
imports_452,17.686857223510742
imports_317,17.66608428955078
imports_1077,17.594058990478516
section_63,17.57897186279297
histogram_145,17.563854217529297
imports_579,17.557336807250977
imports_1204,17.48737335205078
section_121,17.455907821655273
histogram_36,17.416580200195312
imports_1172,17.38543128967285
histogram_198,17.297515869140625
histogram_90,17.289392471313477
byteentropy_64,17.272390365600586
imports_916,17.224929809570312
imports_1159,17.203275680541992
imports_86,17.18251609802246
imports_484,17.017614364624023
section_33,16.952444076538086
imports_1091,16.858335494995117
section_20,16.835813522338867
imports_794,16.835054397583008
imports_1164,16.798349380493164
